LEN,SUM,POL,CRC,
18054,18684,18744,18863,
17770,1013,1100,1001,
17408,971,1078,1134,
17062,1022,1064,1076,
16877,1006,1155,929,
16538,963,1121,989,
16550,1036,1134,1003,
16354,964,1052,913,
15867,990,1080,965,
16084,1015,1112,971,
15677,996,1099,964,
15285,950,1028,1018,
15316,959,1148,978,
15203,1023,1076,962,
14873,942,1196,956,
14727,1058,1114,1111,
14465,962,1110,982,
14216,1023,1101,962,
14281,1024,1119,949,
14031,1053,1072,987,
14079,1040,1098,965,
13606,1066,1078,954,
13620,1035,1072,997,
13194,1034,1062,938,
4862,956,1081,1093,
13094,975,1030,938,
16880,1013,1109,963,
16697,1068,1070,942,
12514,1081,1180,1006,
12374,1065,1110,968,
12223,1066,1088,973,
11989,981,1160,1255,
11868,1074,1098,943,
11765,993,1136,1036,
11600,1023,1117,1111,
11383,1049,1112,1020,
11165,1013,1057,1160,
11132,964,1105,948,
11001,1030,1057,1081,
10872,1034,1093,960,
3507,1045,1058,1088,
10706,1097,1050,974,
14113,1035,1111,947,
13716,1059,1106,966,
10179,1053,1117,995,
9817,1014,1063,1084,
9726,1039,1070,986,
9671,1045,1094,975,
9568,1012,1063,1018,
9617,1074,1072,1126,
9405,1052,1120,974,
9142,1048,1057,969,
8964,1020,1095,972,
8987,1100,1152,1010,
8936,1066,1096,939,
8836,1028,1088,1106,
2123,1043,1123,942,
8517,1078,1113,960,
11691,1072,1090,981,
11327,1090,1041,947,
8047,1028,1039,975,
8016,1079,1064,1113,
7870,1101,1087,968,
7691,1061,1130,959,
7701,1099,1122,943,
7575,1083,1132,1010,
7445,1160,1110,1042,
7292,1090,1073,909,
7405,1102,1068,1101,
7189,1020,1110,940,
6933,1136,1124,881,
6884,1097,1078,960,
1187,1075,1072,937,
6813,1088,1109,901,
9524,1073,1062,954,
9292,1070,1111,977,
6452,1096,1116,925,
6417,1078,1099,1087,
6231,1088,1082,940,
6272,1052,1070,943,
5906,1152,1105,972,
6107,1043,1117,929,
5945,1082,1108,923,
5873,1067,1169,1069,
5734,1121,1041,1014,
5658,1078,1101,982,
5590,1141,1083,959,
5442,1154,1131,1103,
421,1097,1067,996,
5302,1030,1115,972,
7870,1108,1144,951,
7602,1175,1061,938,
5089,1114,1119,1098,
5110,1167,1123,980,
4941,1124,1115,993,
4897,1108,1112,996,
4919,1151,1061,925,
4900,1159,1111,1108,
4695,1151,1078,988,
4659,1111,1103,978,
0,1149,1114,964,
0,1159,1021,958,
0,1187,1147,970,
0,1198,1131,964,
0,1200,1136,953,
0,1151,1139,959,
0,1140,1048,916,
0,1156,1036,908,
0,1132,1132,1057,
0,1132,1067,970,
0,1143,1074,1000,
0,1131,1101,983,
0,1199,1087,984,
0,1090,1085,949,
0,1146,1154,1007,
0,1191,1132,918,
0,1198,1083,951,
0,1243,1092,962,
0,1150,1061,1135,
0,1238,1050,981,
0,1241,1130,997,
0,1205,1068,973,
0,1146,1112,961,
0,1198,1084,920,
0,1164,1091,939,
0,1220,1138,928,
0,1135,1080,951,
0,1102,988,963,
0,1091,974,932,
0,1102,984,935,
0,1049,909,948,
0,1079,1006,1019,
0,1107,936,1013,
0,1076,981,1064,
0,1071,1020,941,
0,1111,961,940,
0,1081,939,908,
0,1089,997,932,
0,1004,941,961,
0,1115,1023,1022,
0,1040,967,947,
0,1041,883,909,
0,1065,942,932,
0,1063,971,1095,
0,1087,997,961,
0,1097,895,1007,
0,1086,1006,949,
0,1087,947,982,
0,1090,927,959,
0,1076,952,993,
0,1051,930,963,
0,1032,929,883,
0,1063,951,961,
0,1095,997,944,
0,1079,929,962,
0,1127,1009,943,
0,1067,928,943,
0,1089,1008,993,
0,1103,943,959,
0,1047,944,958,
0,1068,1044,991,
0,1096,971,961,
0,1088,952,1085,
0,1106,948,996,
0,1124,969,1005,
0,1130,1026,971,
0,1076,1001,936,
0,1146,1001,1007,
0,1084,985,992,
0,1068,932,985,
0,1085,953,959,
0,1097,940,913,
0,1064,961,1121,
0,1056,987,999,
0,1080,982,954,
0,1038,945,975,
0,1054,937,959,
0,1024,957,1007,
0,1096,982,1078,
0,1105,1007,928,
0,1121,935,1034,
0,1072,968,985,
0,1052,971,941,
0,1071,921,907,
0,1026,956,940,
0,1073,1008,1142,
0,1051,1022,963,
0,1115,997,953,
0,1055,1001,974,
0,1053,960,949,
0,1102,953,981,
0,1087,947,962,
0,1161,965,901,
0,1154,1004,1018,
0,1068,1008,993,
0,1028,949,904,
0,1101,982,1063,
0,1063,913,986,
0,1085,944,940,
0,1109,965,982,
0,1079,938,1141,
0,1068,990,973,
0,1075,990,982,
0,1114,945,946,
0,1026,948,963,
0,1078,943,1004,
0,1118,978,946,
0,1162,1027,978,
0,1091,994,1156,
0,1061,932,977,
0,1105,929,963,
0,1058,1002,981,
0,1117,981,923,
0,1082,982,904,
0,1101,980,950,
0,1018,959,998,
0,1016,986,983,
0,1091,971,944,
0,1077,907,916,
0,1107,983,943,
0,1030,956,965,
0,1015,1055,985,
0,1103,1003,919,
0,1090,998,978,
0,1096,1015,991,
0,1071,951,1043,
0,1075,948,964,
0,1146,969,989,
0,1027,984,933,
0,1110,946,955,
0,1103,946,993,
0,1064,993,979,
0,1043,950,949,
0,1017,956,966,
0,1076,1000,1114,
0,1014,935,971,
0,1067,960,921,
0,1040,910,984,
0,1119,876,976,
0,1053,978,958,
0,1104,984,985,
0,1011,974,932,
0,1089,941,1083,
0,1135,956,966,
0,1111,1010,984,
0,1110,961,879,
0,1071,981,967,
0,1069,962,954,
0,1037,958,969,
0,1079,951,952,
0,1108,981,944,
0,1051,944,940,
0,1030,877,943,
0,977,991,940,
0,1020,956,988,
0,1042,981,959,
0,1077,930,909,
0,1088,920,963,
0,1071,910,938,
0,1058,990,1005,
0,1063,994,932,
0,1007,966,974,
0,1037,939,965,
0,994,955,974,
0,1018,961,994,
0,1058,1033,979,
0,976,960,1000,
0,1075,970,986,
0,1091,985,1097,
0,1089,938,960,
0,1036,942,959,
0,1072,935,943,
0,1011,919,1038,
0,1073,1000,920,
0,1042,973,941,
0,1030,1008,1031,
0,1020,963,937,
0,1075,927,987,
0,1133,937,1013,
0,1058,944,974,
0,1054,979,1140,
0,1036,960,926,
0,1044,968,975,
0,1004,1044,929,
0,1046,941,940,
0,1032,1022,962,
0,1032,1011,939,
0,1070,984,980,
0,1047,1012,956,
0,1043,956,1123,
0,1012,965,930,
0,1067,932,971,
0,1021,971,994,
0,1085,987,1034,
0,1065,964,990,
0,1079,994,1017,
0,977,933,958,
0,1041,919,985,
0,1038,1003,976,
0,1021,930,961,
0,1008,1008,964,
0,1088,1008,995,
0,1062,911,1093,
0,1064,945,943,
0,1061,1030,901,
0,1106,880,958,
0,1071,972,968,
0,1071,944,980,
0,1044,989,947,
0,1071,1035,1269,
0,971,1021,952,
0,1059,928,999,
0,1131,1047,1037,
0,1076,920,1001,
0,1020,957,952,
0,1074,973,1111,
0,1005,986,984,
0,1060,976,959,
0,1015,1019,942,
0,989,1000,952,
0,1049,922,947,
0,1033,944,979,
0,1065,948,987,
0,968,889,917,
0,1079,980,940,
0,1007,1020,990,
0,1062,962,1030,
0,1061,948,971,
0,992,974,997,
0,1023,1002,1017,
0,1012,990,947,
0,1019,972,974,
0,1019,1021,956,
0,1025,969,962,
0,1014,977,961,
0,1028,974,1122,
0,1010,995,959,
0,1110,946,982,
0,1040,962,960,
0,956,1006,1058,
0,1067,990,979,
0,1033,959,1113,
0,968,912,973,
0,1077,978,946,
0,1041,946,924,
0,1020,970,967,
0,1062,950,952,
0,994,938,948,
0,1023,976,997,
0,1016,1004,955,
0,1068,1001,993,
0,1061,951,989,
0,1033,934,971,
0,1051,919,974,
0,1001,917,978,
0,994,1001,962,
0,1046,953,1046,
0,1045,977,941,
0,986,928,995,
